Business_name	Business_phone_number	Business_homepage_URL	Business_Address	Opening_hours	Takes_Reservations	Delivery	TAKE_OUT	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Android_Pay	Accepts_Bitcoin	Good_For	Parking	Bike_Parking	Good_for_Kids	Good_for_Groups	Attire	Ambience	Noise_Level	Alcohol	Outdoor_Seating	Wi_Fi	Has_TV	Caters	Gender_Neutral_Restrooms	contact_US	emails
Absinthe Brasserie &amp; Bar	(415) 551-1590	absinthe.com	398 Hayes StSan Francisco, CA 94102 b/t Gough St & Franklin St Hayes Valley	Mon --> 11:30 am - 11:00 pm ; Tue --> 11:30 am - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 12:00 am ; Fri --> 11:30 am - 12:00 am ; Sat --> 11:00 am - 12:00 am ; Sun --> 11:00 am - 10:00 pm ;	NA	No	Yes	Yes	No	NA	NA	Dinner	Valet, Garage, Street	Yes	No	Yes	Casual	Classy	Average	Full Bar	Yes	Free	No	No	NA	http://absinthe.com/	talk@absinthe.com, press@absinthegroup.com, lholgerson@absinthegroup.com, kat@absinthegroup.com
ABV	(415) 400-4748	abvsf.com	3174 16th StSan Francisco, CA 94103 at Albion St Mission	Mon --> 2:00 pm - 2:00 am ; Tue --> 2:00 pm - 2:00 am ; Wed --> NA - NA ; Thu --> 2:00 pm - 2:00 am ; Fri --> 2:00 pm - 2:00 am ; Sat --> 2:00 pm - 2:00 am ; Sun --> 2:00 pm - 2:00 am ;	No	No	No	Yes	No	No	NA	Late Night	Street	Yes	No	Yes	Casual	Hipster	Average	Full Bar	Yes	No	No	No	Yes	https://www.abvsf.com/contact-1/	info@abvsf.com
Acquerello	(415) 567-5432	acquerello.com	1722 Sacramento StSan Francisco, CA 94109 b/t Polk St & United States Highway 101 Nob Hill	Mon --> NA - NA ; Tue --> 5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:30 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> NA - NA ;	Yes	No	No	Yes	No	NA	NA	Dinner	Garage, Street	No	No	No	Dressy	Romantic, Classy, Upscale	Quiet	Beer & Wine Only	No	No	No	No	NA	http://acquerello.com/	NA
Adam’s Grub Truck	(415) 307-8844	adamsgrubtruck.com	Serving San Francisco and surrounding area Mission Bay	Mon --> 11:00 am - 9:00 pm ; Tue --> 11:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 9:00 pm ; Fri --> 11:00 am - 9:00 pm ; Sat --> 11:00 am - 9:00 pm ; Sun --> 11:00 am - 5:00 pm ;	No	No	Yes	Yes	No	NA	NA	Lunch	Street, Private Lot	Yes	Yes	Yes	Casual	Casual	Average	No	No	No	No	Yes	NA	NA	NA
A Desi Cafe	(415) 759-9088	adesicafe.com	1501 Noriega StSan Francisco, CA 94122 b/t 22nd Ave & 23rd Ave Outer Sunset	Mon --> NA - NA ; Tue --> 11:00 am - 2:30 pm5:00 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 2:30 pm5:00 pm - 9:00 pm ; Fri --> 11:00 am - 2:30 pm5:00 pm - 9:00 pm ; Sat --> 11:00 am - 2:30 pm5:00 pm - 9:00 pm ; Sun --> 11:00 am - 2:30 pm5:00 pm - 9:00 pm ;	No	No	Yes	Yes	No	No	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	Yes	Yes	Yes	http://adesicafe.com/	NA
Adventure in Food &amp; Wine	(628) 444-3430	adventureinfoodandwine.com	3331 24th StSan Francisco, CA 94110 b/t Bartlett St & Osage St Mission	Mon --> NA - NA ; Tue --> 4:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 4:00 pm - 10:00 pm ; Fri --> 4:00 pm - 11:00 pm ; Sat --> 4:00 pm - 10:00 pm ; Sun --> 4:00 pm - 10:00 pm ;	Yes	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Intimate	Quiet	Beer & Wine Only	No	No	No	Yes	Yes	http://adventureinfoodandwine.com/index.php/contact/	NA
Aicha Moroccan Cuisine	(415) 345-9947	aichasf.com	1303 Polk StSan Francisco, CA 94109 b/t Austin St & Bush St Lower Nob Hill, Nob Hill	Mon --> 12:00 pm - 9:30 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 12:00 pm - 9:30 pm ; Fri --> 12:00 pm - 9:30 pm ; Sat --> 12:00 pm - 9:30 pm ; Sun --> 12:00 pm - 9:00 pm ;	Yes	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	No	No	No	No	Yes	NA	http://aichacuisine.com/	NA
Akiko’s Restaurant	(415) 397-3218	akikosrestaurant.com	431 Bush StSan Francisco, CA 94108 b/t Claude Ln & Mark Ln Financial District, Union Square	Mon --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ; Tue --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ; Fri --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ; Sat --> 5:30 pm - 9:00 pm ; Sun --> NA - NA ;	NA	No	No	Yes	No	No	No	Dinner	Street	No	No	No	Casual	NA	Average	Beer & Wine Only	No	No	No	No	Yes	http://akikosrestaurant.com/contact/	reso@akikosrestaurant.com, info@akikosrestaurant.com
Akira Japanese Restaurant	(415) 800-8498	akirasf.com	1634 Bush StSan Francisco, CA 94109 b/t Franklin St & Gough St Lower Pacific Heights	Mon --> 11:30 am - 2:30 pm5:00 pm - 10:00 pm ; Tue --> 11:30 am - 2:30 pm5:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:00 pm - 10:00 pm ; Fri --> 11:30 am - 2:30 pm5:00 pm - 10:30 pm ; Sat --> 5:00 pm - 10:30 pm ; Sun --> NA - NA ;	Yes	No	Yes	Yes	No	NA	NA	Lunch, Dinner	Street	No	No	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	http://www.akirasf.com/	NA
A K Meats	(415) 933-6328	NA	2346 Clement StSan Francisco, CA 94121 b/t 24th Ave & 25th Ave Outer Richmond	Mon --> 9:00 am - 7:00 pm ; Tue --> 9:00 am - 7:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 7:00 pm ; Fri --> 9:00 am - 7:00 pm ; Sat --> 9:00 am - 7:00 pm ; Sun --> 9:00 am - 7:00 pm ;	No	No	Yes	Yes	NA	NA	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	Yes	No	No	Yes	Yes	NA	NA
AK Subs	(415) 241-9600	aksubs.net	NA	Mon --> 6:30 am - 4:00 pm ; Tue --> 6:30 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 6:30 am - 4:00 pm ; Fri --> 6:30 am - 4:00 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	No	Yes	Yes	Yes	Yes	No	NA	Lunch	Street, Private Lot	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	Free	Yes	Yes	Yes	http://aksubs.net/	NA
Alamo Square Market &amp; Deli	(415) 861-7120	NA	535 Scott StSan Francisco, CA 94117 b/t Fell St & Hayes St Alamo Square	Mon --> 8:00 am - 9:00 pm ; Tue --> 8:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 9:00 pm ; Fri --> 8:00 am - 10:00 pm ; Sat --> 9:00 am - 10:00 pm ; Sun --> 9:00 am - 9:00 pm ;	No	No	Yes	Yes	No	NA	NA	NA	Street	No	Yes	No	Casual	Casual	Quiet	Beer & Wine Only	Yes	No	No	No	NA	NA	NA
Alamo Square Seafood Grill	(415) 440-2828	alamosquareseafoodgrill.com	803 Fillmore StSan Francisco, CA 94117 b/t Grove St & Fulton St Alamo Square	Mon --> 5:30 pm - 10:00 pm ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:00 pm - 9:00 pm ;	Yes	No	Yes	Yes	No	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Intimate	Average	Beer & Wine Only	No	No	No	No	Yes	http://www.alamosquareseafoodgrill.com/	alarzul@icloud.com
A La Turca Restaurant	(415) 345-1011	alaturcasf.com	869 Geary StSan Francisco, CA 94109 at Larkin St Tenderloin	Mon --> 11:00 am - 10:00 pm ; Tue --> 11:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 10:00 pm ; Fri --> 11:00 am - 11:00 pm ; Sat --> 11:00 am - 11:00 pm ; Sun --> 11:00 am - 10:00 pm ;	Yes	No	Yes	Yes	No	NA	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	Yes	Yes	NA	http://alaturcasf.com/	NA
Alba Ray’s	(415) 872-9409	albarays.com	2293 Mission StSan Francisco, CA 94110 b/t 19th St & 18th St Mission	Mon --> 5:30 pm - 11:00 pm ; Tue --> 5:30 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 11:00 pm ; Fri --> 11:00 am - 12:00 am ; Sat --> 10:00 am - 12:00 am ; Sun --> 10:00 am - 11:00 pm ;	NA	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	No	Yes	Yes	https://albarays.com/	NA
Albona Ristorante Istriano	(415) 441-1040	albonarestaurant.com	545 Francisco StSan Francisco, CA 94133 b/t Taylor St & Mason St North Beach/Telegraph Hill	Mon --> NA - NA ; Tue --> 5:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:00 pm - 10:00 pm ; Fri --> 5:00 pm - 10:00 pm ; Sat --> 5:00 pm - 10:00 pm ; Sun --> 5:00 pm - 9:00 pm ;	Yes	No	Yes	Yes	No	NA	NA	Dinner	Street, Private Lot	No	No	Yes	Casual	Intimate	Quiet	Beer & Wine Only	No	No	No	No	NA	http://albonarestaurant.com/	info@jacksonpatterson.com
Alegrias	(415) 929-8888	alegriassf.com	2018 Lombard StSan Francisco, CA 94123 b/t Webster St & Fillmore St Marina/Cow Hollow	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:30 pm ; Fri --> 5:30 pm - 10:30 pm ; Sat --> 5:30 pm - 10:30 pm ; Sun --> 5:30 pm - 9:30 pm ;	Yes	No	Yes	Yes	No	NA	NA	Dinner	Street	No	No	Yes	Casual	Intimate, Romantic	Average	Beer & Wine Only	No	No	No	No	Yes	http://www.alegriassf.com/	info@alegriassf.com
Alexander’s Steakhouse	(415) 495-1111	alexanderssteakhouse.com	448 Brannan StSan Francsico, CA 94107 b/t Ritch St & 4th St Mission Bay	Mon --> 5:30 pm - 9:00 pm ; Tue --> 5:30 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 9:00 pm ;	NA	No	No	Yes	No	No	No	Dinner	Valet, Street	Yes	No	Yes	Dressy	Classy, Upscale	Average	Full Bar	No	Free	No	No	NA	https://alexanderssteakhouse.com/	NA
Alfaro Catering	(415) 850-4247	alfaro-catering.com	Serving San Francisco and surrounding area 332 Valencia StSan Francisco, CA 94103 at 14th St Mission	Mon --> 10:00 am - 8:00 pm ; Tue --> 10:00 am - 8:00 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 8:00 pm ; Fri --> 10:00 am - 8:00 pm ; Sat --> 10:00 am - 8:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	NA	NA	NA	Lunch	Street	Yes	Yes	Yes	Casual	NA	Average	No	No	No	No	Yes	NA	http://alfaro-catering.com/	info@alfaro-catering.com
Alimento	(415) 296-9463	alimentosf.com	507 Columbus AveSan Francisco, CA 94133 b/t Union St & Green St North Beach/Telegraph Hill, Russian Hill	Mon --> 9:00 am - 11:45 pm ; Tue --> 9:00 am - 11:45 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 11:45 pm ; Fri --> 9:00 am - 11:45 pm ; Sat --> 9:00 am - 11:45 pm ; Sun --> 9:00 am - 11:45 pm ;	No	No	Yes	Yes	Yes	NA	NA	Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	Free	Yes	Yes	Yes	http://www.alimentosf.com/	507alimento@gmail.com
Allegro Romano	(415) 928-4002	allegroromano.com	1701 Jones StSan Francisco, CA 94109 b/t Broadway St & Glover St Russian Hill	Mon --> 5:30 pm - 9:30 pm ; Tue --> 5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 5:00 pm - 9:30 pm ; Fri --> 5:00 pm - 9:30 pm ; Sat --> 5:00 pm - 9:30 pm ; Sun --> NA - NA ;	Yes	No	Yes	Yes	No	NA	NA	Dinner	Valet	Yes	No	No	Dressy	Intimate, Romantic	Average	Beer & Wine Only	No	No	No	No	Yes	http://allegroromano.com/	NA
All Good Pizza	(415) 933-9384	allgoodpizza.com	NA	Mon --> 10:30 am - 5:00 pm ; Tue --> 10:30 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 10:30 am - 5:00 pm ; Fri --> 10:30 am - 5:00 pm ; Sat --> 11:00 am - 6:00 pm ; Sun --> 11:00 am - 6:00 pm ;	Yes	No	Yes	Yes	No	NA	NA	Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	No	Yes	Yes	https://www.allgoodpizza.com/	NA
All Star Cafe	(415) 863-4949	NA	98 9th StSan Francisco, CA 94103 b/t Jessie St & Mission St SoMa	Mon --> 5:00 am - 6:00 pm ; Tue --> 5:00 am - 6:00 pm ; Wed --> NA - NA ; Thu --> 5:00 am - 6:00 pm ; Fri --> 5:00 am - 6:00 pm ; Sat --> 6:00 am - 6:00 pm ; Sun --> 6:00 am - 6:00 pm ;	No	Yes	Yes	Yes	No	No	NA	Breakfast, Brunch, Lunch	Street	No	Yes	Yes	Casual	Casual	Average	No	No	Free	Yes	Yes	Yes	NA	NA
All Star Donuts	(415) 221-9838	NA	901 Clement StSan Francisco, CA 94118 b/t 11th Ave & 10th Ave Inner Richmond	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> NA - NA ; Fri --> NA - NA ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	Yes	No	NA	NA	Breakfast, Late Night, Dessert	Street	Yes	Yes	Yes	Casual	Casual	Quiet	No	No	No	No	No	NA	NA	NA
All Star Tamales	(925) 252-1097	allstartamales.com	Heart Of The City Farmers MarketUnited Nations PlzSan Francisco, CA 94102 Civic Center	Mon --> NA - NA ; Tue --> 9:00 am - 3:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 3:00 pm ; Fri --> NA - NA ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	No	NA	NA	NA	Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	No	No	Yes	NA	http://allstartamales.com/	NA
Alma Cocina	(415) 341-0389	almacocinasf.com	2801 Folsom StSan Francisco, CA 94110 b/t 24th St & 25th St Mission	Mon --> 11:30 am - 10:00 pm ; Tue --> 11:30 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 10:00 pm ; Fri --> 11:30 am - 10:00 pm ; Sat --> 11:30 am - 10:00 pm ; Sun --> 11:30 am - 10:00 pm ;	Yes	No	Yes	Yes	No	No	No	NA	Street	No	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	NA	http://www.almacocinasf.com/contact.html	info@almacocinasf.com
AL’s Place	(415) 416-6136	alsplacesf.com	1499 Valencia StSan Francisco, CA 94110 b/t 26th St & 25th St Mission	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 10:00 pm ;	Yes	No	No	Yes	No	No	No	Dinner	Street	No	No	No	Casual	Trendy	Average	Beer & Wine Only	No	No	No	No	Yes	https://www.alsplacesf.com/contact/	info@alsplacesf.com
a Mano	(415) 506-7401	amanosf.com	450 Hayes StSan Francisco, CA 94102 b/t Octavia St & Gough St Hayes Valley	Mon --> 11:30 am - 3:30 pm5:00 pm - 11:00 pm ; Tue --> 11:30 am - 3:30 pm5:00 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 3:30 pm5:00 pm - 11:00 pm ; Fri --> 11:30 am - 3:30 pm5:00 pm - 12:00 am ; Sat --> 11:30 am - 12:00 am ; Sun --> 11:30 am - 11:00 pm ;	No	No	No	Yes	No	No	NA	Dinner	Street	Yes	No	Yes	Casual	Casual, Trendy	Loud	Full Bar	Yes	No	No	No	Yes	http://amanosf.com/contact/	info@amanosf.com
Amasia Hide’s Sushi Bar	(415) 861-7000	amasiasushi.com	149 Noe StSan Francisco, CA 94114 b/t Henry St & 14th St Duboce Triangle	Mon --> NA - NA ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 9:30 pm ;	No	No	Yes	Yes	NA	NA	NA	Dinner	Street	Yes	No	No	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	Yes	http://amasiasushi.com/	NA
Ambrosia Bakery	(415) 334-5305	ambrosiabakerysf.com	2605 Ocean AveSan Francisco, CA 94132 b/t Woodacre Dr & Lagunitas Dr Lakeside	Mon --> 6:00 am - 6:00 pm ; Tue --> 6:00 am - 6:00 pm ; Wed --> NA - NA ; Thu --> 6:00 am - 6:00 pm ; Fri --> 6:00 am - 6:00 pm ; Sat --> 7:00 am - 6:00 pm ; Sun --> 8:00 am - 2:00 pm ;	No	No	Yes	Yes	No	No	NA	NA	Street	Yes	Yes	Yes	Casual	Casual	Average	No	No	No	No	Yes	NA	http://ambrosiabakerysf.com/	joshkang@gmail.com
Amélie	(415) 292-6916	ameliewinebar.com	1754 Polk StSan Francisco, CA 94109 b/t Washington St & Clay St Nob Hill	Mon --> 5:00 pm - 1:00 am ; Tue --> 5:00 pm - 1:00 am ; Wed --> NA - NA ; Thu --> 5:00 pm - 1:00 am ; Fri --> 5:00 pm - 1:00 am ; Sat --> 5:00 pm - 1:00 am ; Sun --> 5:00 pm - 1:00 am ;	Yes	No	No	Yes	NA	NA	NA	Late Night	Street	Yes	No	Yes	Casual	Trendy	Loud	Beer & Wine Only	No	No	No	No	Yes	http://www.ameliewinebar.com/	ameliewinebar@hotmail.com, amelienyc@hotmail.com
Amitis Café	(415) 563-2828	amitiscafe117.wixsite.com/ami…	800 Masonic AveSan Francisco, CA 94117 b/t Fell St & Hayes St NoPa	Mon --> 10:00 am - 6:30 pm ; Tue --> 10:00 am - 6:30 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 6:30 pm ; Fri --> 10:00 am - 3:00 pm ; Sat --> 10:00 am - 3:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	Yes	No	NA	Lunch	Street	Yes	Yes	Yes	Casual	Casual	Quiet	No	Yes	Free	No	Yes	Yes	http://amitiscafe117.wixsite.com/ami…	NA
Ananda Fuara	(415) 621-1994	anandafuara.com	1298 Market StSan Francisco, CA 94102 Civic Center	Mon --> NA - NA ; Tue --> 11:00 am - 8:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 8:00 pm ; Fri --> 11:00 am - 8:00 pm ; Sat --> 11:00 am - 8:00 pm ; Sun --> 11:00 am - 3:00 pm ;	No	No	Yes	Yes	No	No	No	Lunch	Street	No	Yes	Yes	Casual	Casual	Average	No	No	No	No	No	Yes	http://anandafuara.com/contact/	NA
Anar Restaurant Persian Cuisine	(415) 543-2627	anarrestaurantsf.com	937 Harrison StSan Francisco, CA 94107 b/t Oak Grove St & 5th St SoMa	Mon --> NA - NA ; Tue --> 12:00 pm - 4:00 pm5:00 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 12:00 pm - 4:00 pm5:00 pm - 9:00 pm ; Fri --> 12:00 pm - 4:00 pm5:00 pm - 9:30 pm ; Sat --> 12:00 pm - 4:00 pm5:00 pm - 9:30 pm ; Sun --> 12:00 pm - 4:00 pm5:00 pm - 9:00 pm ;	Yes	Yes	Yes	Yes	No	NA	No	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	Free	No	Yes	NA	http://anarrestaurantsf.com/contact-us/	kouroosh@gmail.com
